id|drug_HOI_relationship|evidence_type|modality|evidence_source_code_id|statistic value|evidence_linkout|statistic_type
2153|1308216-35909613|aers_ebgm||5|0.5759999752|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2154|1308216-35909613|aers_eb05||5|0.4519999921|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2155|1308216-36718335|aers_report_count||5|6|https://open.fda.gov/drug/event/reference/|COUNT
2156|1308216-36718335|aers_ebgm||5|0.6890000105|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2157|1308216-36718335|aers_eb05||5|0.3470000029|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2158|1308216-36818693|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
2159|1308216-36818693|aers_ebgm||5|0.7559999824|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2160|1308216-36818693|aers_eb05||5|0.1710000038|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2161|1308216-37219829|aers_report_count||5|11|https://open.fda.gov/drug/event/reference/|COUNT
2162|1308216-37219829|aers_ebgm||5|0.6610000134|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2163|1308216-37219829|aers_eb05||5|0.3980000019|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2164|1308216-35708458|aers_report_count||5|14|https://open.fda.gov/drug/event/reference/|COUNT
2165|1308216-35708458|aers_ebgm||5|0.8590000272|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2166|1308216-35708458|aers_eb05||5|0.5469999909|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2167|1308216-35606980|aers_report_count||5|4|https://open.fda.gov/drug/event/reference/|COUNT
2168|1308216-35606980|aers_ebgm||5|0.4650000036|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2169|1308216-35606980|aers_eb05||5|0.202000007|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2170|1310149-36718362|aers_report_count||5|6|https://open.fda.gov/drug/event/reference/|COUNT
2171|1310149-36718362|aers_ebgm||5|0.1870000064|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2172|1310149-36718362|aers_eb05||5|0.0939999968|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2173|1308216-36110583|aers_report_count||5|4|https://open.fda.gov/drug/event/reference/|COUNT
2174|1308216-36110583|aers_ebgm||5|0.94599998|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2175|1308216-36110583|aers_eb05||5|0.4110000134|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2176|1308216-36211127|aers_report_count||5|5|https://open.fda.gov/drug/event/reference/|COUNT
2177|1308216-36211127|aers_ebgm||5|0.3519999981|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2178|1308216-36211127|aers_eb05||5|0.1659999937|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2179|1310149-35506681|aers_report_count||5|2|https://open.fda.gov/drug/event/reference/|COUNT
2180|1310149-35506681|aers_ebgm||5|0.6499999762|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2181|1310149-35506681|aers_eb05||5|0.2080000043|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2182|1308216-36516810|aers_report_count||5|2|https://open.fda.gov/drug/event/reference/|COUNT
2183|1308216-36516810|aers_ebgm||5|0.7509999871|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2184|1308216-36516810|aers_eb05||5|0.2409999967|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2185|1308216-36516842|aers_report_count||5|9|https://open.fda.gov/drug/event/reference/|COUNT
2186|1308216-36516842|aers_ebgm||5|0.7110000253|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2187|1308216-36516842|aers_eb05||5|0.4050000012|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2188|1310149-36211536|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
2189|1310149-36211536|aers_ebgm||5|1.0099999905|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2190|1310149-36211536|aers_eb05||5|0.2290000021|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2191|1308216-35607358|aers_report_count||5|7|https://open.fda.gov/drug/event/reference/|COUNT
2192|1308216-35607358|aers_ebgm||5|0.628000021|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2193|1308216-35607358|aers_eb05||5|0.3330000043|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2194|1308216-35607446|aers_report_count||5|10|https://open.fda.gov/drug/event/reference/|COUNT
2195|1308216-35607446|aers_ebgm||5|0.6830000281|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2196|1308216-35607446|aers_eb05||5|0.400000006|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2197|1310149-36110608|aers_report_count||5|4|https://open.fda.gov/drug/event/reference/|COUNT
2198|1310149-36110608|aers_ebgm||5|1.1000000238|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2199|1310149-36110608|aers_eb05||5|0.4799999893|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2200|1310149-37320275|aers_report_count||5|19|https://open.fda.gov/drug/event/reference/|COUNT
2201|1310149-37320275|aers_ebgm||5|3.9400000572|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2202|1310149-37320275|aers_eb05||5|2.6800000668|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2203|1308216-35809076|aers_report_count||5|367|https://open.fda.gov/drug/event/reference/|COUNT
2204|1308216-35809076|aers_ebgm||5|0.9750000238|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2205|1308216-35809076|aers_eb05||5|0.8939999938|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2206|1308216-36110658|aers_report_count||5|4|https://open.fda.gov/drug/event/reference/|COUNT
2207|1308216-36110658|aers_ebgm||5|3.7400000095|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2208|1308216-36110658|aers_eb05||5|1.5099999905|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2209|1310149-35809366|aers_report_count||5|2|https://open.fda.gov/drug/event/reference/|COUNT
2210|1310149-35809366|aers_ebgm||5|0.8259999752|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2211|1310149-35809366|aers_eb05||5|0.2649999857|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2212|1310149-36718024|aers_report_count||5|184|https://open.fda.gov/drug/event/reference/|COUNT
2213|1310149-36718024|aers_ebgm||5|6.2899999619|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2214|1310149-36718024|aers_eb05||5|5.5599999428|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2215|1308216-37320280|aers_report_count||5|3|https://open.fda.gov/drug/event/reference/|COUNT
2216|1308216-37320280|aers_ebgm||5|1.6599999666|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2217|1308216-37320280|aers_eb05||5|0.6389999986|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2218|1308216-36009783|aers_report_count||5|270|https://open.fda.gov/drug/event/reference/|COUNT
2219|1308216-36009783|aers_ebgm||5|0.8439999819|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2220|1308216-36009783|aers_eb05||5|0.7630000114|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2221|1310149-35204911|aers_report_count||5|15|https://open.fda.gov/drug/event/reference/|COUNT
2222|1310149-35204911|aers_ebgm||5|0.6370000243|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2223|1310149-35204911|aers_eb05||5|0.4120000005|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2224|1308216-36211100|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
2225|1308216-36211100|aers_ebgm||5|0.4530000091|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2226|1308216-36211100|aers_eb05||5|0.1030000001|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2227|1308216-36211132|aers_report_count||5|3|https://open.fda.gov/drug/event/reference/|COUNT
2228|1308216-36211132|aers_ebgm||5|0.6809999943|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2229|1308216-36211132|aers_eb05||5|0.2630000114|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2230|1310149-35607345|aers_report_count||5|5|https://open.fda.gov/drug/event/reference/|COUNT
2231|1310149-35607345|aers_ebgm||5|0.3849999905|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2232|1310149-35607345|aers_eb05||5|0.1819999963|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2233|1310149-35708323|aers_report_count||5|9|https://open.fda.gov/drug/event/reference/|COUNT
2234|1310149-35708323|aers_ebgm||5|1.2000000477|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2235|1310149-35708323|aers_eb05||5|0.6830000281|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2236|1310149-35104339|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
2237|1310149-35104339|aers_ebgm||5|0.3140000105|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2238|1310149-35104339|aers_eb05||5|0.0710000023|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2239|1310149-35708259|aers_report_count||5|4|https://open.fda.gov/drug/event/reference/|COUNT
2240|1310149-35708259|aers_ebgm||5|0.3580000103|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2241|1310149-35708259|aers_eb05||5|0.1560000032|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2242|1308216-35809079|aers_report_count||5|286|https://open.fda.gov/drug/event/reference/|COUNT
2243|1308216-35809079|aers_ebgm||5|0.9720000029|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2244|1308216-35809079|aers_eb05||5|0.8809999824|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2245|1310149-35506459|aers_report_count||5|16|https://open.fda.gov/drug/event/reference/|COUNT
2246|1310149-35506459|aers_ebgm||5|1.2000000477|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2247|1310149-35506459|aers_eb05||5|0.7839999795|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2248|1310149-35708686|aers_report_count||5|72|https://open.fda.gov/drug/event/reference/|COUNT
2249|1310149-35708686|aers_ebgm||5|9.1400003433|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2250|1310149-35708686|aers_eb05||5|7.3499999046|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2251|1308216-37320158|aers_report_count||5|74|https://open.fda.gov/drug/event/reference/|COUNT
2252|1308216-37320158|aers_ebgm||5|0.675999999|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2253|1308216-37320158|aers_eb05||5|0.5569999814|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2254|1310149-35104336|aers_report_count||5|2|https://open.fda.gov/drug/event/reference/|COUNT
2255|1310149-35104336|aers_ebgm||5|0.2280000001|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2256|1310149-35104336|aers_eb05||5|0.0729999989|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2257|1310149-36110140|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
2258|1310149-36110140|aers_ebgm||5|0.4099999964|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2259|1310149-36110140|aers_eb05||5|0.0930000022|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2260|1310149-36110540|aers_report_count||5|29|https://open.fda.gov/drug/event/reference/|COUNT
2261|1310149-36110540|aers_ebgm||5|0.9200000167|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2262|1310149-36110540|aers_eb05||5|0.6729999781|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2263|1308216-36718157|aers_report_count||5|7|https://open.fda.gov/drug/event/reference/|COUNT
2264|1308216-36718157|aers_ebgm||5|0.8029999733|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2265|1308216-36718157|aers_eb05||5|0.4250000119|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2266|1308216-37622537|aers_report_count||5|5|https://open.fda.gov/drug/event/reference/|COUNT
2267|1308216-37622537|aers_ebgm||5|1.5900000334|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2268|1308216-37622537|aers_eb05||5|0.753000021|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2269|1308216-36211111|aers_report_count||5|5|https://open.fda.gov/drug/event/reference/|COUNT
2270|1308216-36211111|aers_ebgm||5|1.2300000191|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2271|1308216-36211111|aers_eb05||5|0.5799999833|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2272|1308216-36517016|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
2273|1308216-36517016|aers_ebgm||5|0.4269999862|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2274|1308216-36517016|aers_eb05||5|0.0970000029|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2275|1308216-35406308|aers_report_count||5|9|https://open.fda.gov/drug/event/reference/|COUNT
2276|1308216-35406308|aers_ebgm||5|0.9380000234|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2277|1308216-35406308|aers_eb05||5|0.5339999795|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2278|1308216-36919162|aers_report_count||5|2|https://open.fda.gov/drug/event/reference/|COUNT
2279|1308216-36919162|aers_ebgm||5|1.2599999905|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2280|1308216-36919162|aers_eb05||5|0.4050000012|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2281|1308216-36718510|aers_report_count||5|16|https://open.fda.gov/drug/event/reference/|COUNT
2282|1308216-36718510|aers_ebgm||5|0.2689999938|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2283|1308216-36718510|aers_eb05||5|0.1770000011|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2284|1308216-36416560|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
2285|1308216-36416560|aers_ebgm||5|0.6100000143|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2286|1308216-36416560|aers_eb05||5|0.1379999965|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2287|1308216-35809118|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
2288|1308216-35809118|aers_ebgm||5|0.4839999974|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2289|1308216-35809118|aers_eb05||5|0.1089999974|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2290|1308216-35506537|aers_report_count||5|7|https://open.fda.gov/drug/event/reference/|COUNT
2291|1308216-35506537|aers_ebgm||5|1.7300000191|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2292|1308216-35506537|aers_eb05||5|0.9150000215|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2293|1310149-35707989|aers_report_count||5|2|https://open.fda.gov/drug/event/reference/|COUNT
2294|1310149-35707989|aers_ebgm||5|0.2129999995|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2295|1310149-35707989|aers_eb05||5|0.0680000037|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2296|1308216-36211101|aers_report_count||5|8|https://open.fda.gov/drug/event/reference/|COUNT
2297|1308216-36211101|aers_ebgm||5|0.7599999905|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2298|1308216-36211101|aers_eb05||5|0.4189999998|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2299|1310149-35708372|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
2300|1310149-35708372|aers_ebgm||5|0.1209999993|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2301|1310149-35708372|aers_eb05||5|0.0270000007|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2302|1308216-36009754|aers_report_count||5|32|https://open.fda.gov/drug/event/reference/|COUNT
2303|1308216-36009754|aers_ebgm||5|1.0800000429|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2304|1308216-36009754|aers_eb05||5|0.8019999862|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2305|1308216-36110698|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
2306|1308216-36110698|aers_ebgm||5|0.9670000076|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2307|1308216-36110698|aers_eb05||5|0.2189999968|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2308|1308216-35104841|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
2309|1308216-35104841|aers_ebgm||5|1.0700000525|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2310|1308216-35104841|aers_eb05||5|0.2430000007|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2311|1308216-35708208|aers_report_count||5|433|https://open.fda.gov/drug/event/reference/|COUNT
2312|1308216-35708208|aers_ebgm||5|0.7940000296|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2313|1308216-35708208|aers_eb05||5|0.7329999804|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2314|1308216-35708362|aers_report_count||5|3|https://open.fda.gov/drug/event/reference/|COUNT
2315|1308216-35708362|aers_ebgm||5|0.6650000215|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2316|1308216-35708362|aers_eb05||5|0.2569999993|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2317|1308216-35707584|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
2318|1308216-35707584|aers_ebgm||5|1.1100000143|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2319|1308216-35707584|aers_eb05||5|0.25|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2320|1308216-35205374|aers_report_count||5|9|https://open.fda.gov/drug/event/reference/|COUNT
2321|1308216-35205374|aers_ebgm||5|0.6679999828|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2322|1308216-35205374|aers_eb05||5|0.3810000122|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2323|1308216-35205232|aers_report_count||5|15|https://open.fda.gov/drug/event/reference/|COUNT
2324|1308216-35205232|aers_ebgm||5|1.1900000572|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2325|1308216-35205232|aers_eb05||5|0.7710000277|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2326|1308216-35708070|aers_report_count||5|2|https://open.fda.gov/drug/event/reference/|COUNT
2327|1308216-35708070|aers_ebgm||5|0.746999979|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2328|1308216-35708070|aers_eb05||5|0.2399999946|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2329|1308216-36211269|aers_report_count||5|4|https://open.fda.gov/drug/event/reference/|COUNT
2330|1308216-36211269|aers_ebgm||5|0.2549999952|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2331|1308216-36211269|aers_eb05||5|0.1110000014|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2332|1308216-36919209|aers_report_count||5|34|https://open.fda.gov/drug/event/reference/|COUNT
2333|1308216-36919209|aers_ebgm||5|0.8360000253|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2334|1308216-36919209|aers_eb05||5|0.6269999743|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2335|1308216-37119655|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
2336|1308216-37119655|aers_ebgm||5|0.4099999964|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2337|1308216-37119655|aers_eb05||5|0.0930000022|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2338|1308216-35506691|aers_report_count||5|9|https://open.fda.gov/drug/event/reference/|COUNT
2339|1308216-35506691|aers_ebgm||5|1.3799999952|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2340|1308216-35506691|aers_eb05||5|0.7870000005|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2341|1308216-37019443|aers_report_count||5|2|https://open.fda.gov/drug/event/reference/|COUNT
2342|1308216-37019443|aers_ebgm||5|0.875|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2343|1308216-37019443|aers_eb05||5|0.2809999883|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2344|1308216-36718004|aers_report_count||5|2|https://open.fda.gov/drug/event/reference/|COUNT
2345|1308216-36718004|aers_ebgm||5|0.6600000262|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2346|1308216-36718004|aers_eb05||5|0.2119999975|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2347|1308216-35305999|aers_report_count||5|2|https://open.fda.gov/drug/event/reference/|COUNT
2348|1308216-35305999|aers_ebgm||5|1.2899999619|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2349|1308216-35305999|aers_eb05||5|0.4140000045|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2350|1308216-35506609|aers_report_count||5|116|https://open.fda.gov/drug/event/reference/|COUNT
2351|1308216-35506609|aers_ebgm||5|1.1000000238|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2352|1308216-35506609|aers_eb05||5|0.9449999928|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2353|1308216-35506521|aers_report_count||5|19|https://open.fda.gov/drug/event/reference/|COUNT
2354|1308216-35506521|aers_ebgm||5|2.3199999332|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2355|1308216-35506521|aers_eb05||5|1.5800000429|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2356|1308216-35104853|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
2357|1308216-35104853|aers_ebgm||5|0.4289999902|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2358|1308216-35104853|aers_eb05||5|0.0970000029|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2359|1308216-35607053|aers_report_count||5|4|https://open.fda.gov/drug/event/reference/|COUNT
2360|1308216-35607053|aers_ebgm||5|0.3140000105|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2361|1308216-35607053|aers_eb05||5|0.1360000074|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2362|1308216-35707700|aers_report_count||5|12|https://open.fda.gov/drug/event/reference/|COUNT
2363|1308216-35707700|aers_ebgm||5|0.6129999757|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2364|1308216-35707700|aers_eb05||5|0.3759999871|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2365|1308216-35708561|aers_report_count||5|11|https://open.fda.gov/drug/event/reference/|COUNT
2366|1308216-35708561|aers_ebgm||5|3.4500000477|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2367|1308216-35708561|aers_eb05||5|2.0699999332|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2368|1308216-37119529|aers_report_count||5|5|https://open.fda.gov/drug/event/reference/|COUNT
2369|1308216-37119529|aers_ebgm||5|0.871999979|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2370|1308216-37119529|aers_eb05||5|0.4120000005|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2371|1308216-35104715|aers_report_count||5|2|https://open.fda.gov/drug/event/reference/|COUNT
2372|1308216-35104715|aers_ebgm||5|0.5170000196|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2373|1308216-35104715|aers_eb05||5|0.1659999937|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2374|1308216-35406391|aers_report_count||5|73|https://open.fda.gov/drug/event/reference/|COUNT
2375|1308216-35406391|aers_ebgm||5|0.9700000286|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2376|1308216-35406391|aers_eb05||5|0.7979999781|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2377|1308216-35606950|aers_report_count||5|17|https://open.fda.gov/drug/event/reference/|COUNT
2378|1308216-35606950|aers_ebgm||5|1.0900000334|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2379|1308216-35606950|aers_eb05||5|0.72299999|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2380|1308216-35305435|aers_report_count||5|6|https://open.fda.gov/drug/event/reference/|COUNT
2381|1308216-35305435|aers_ebgm||5|1.4800000191|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
2382|1308216-35305435|aers_eb05||5|0.7429999709|http://www.ncbi.nlm.nih.gov/pubmed/23657824|AERS_EB05
2383|1308216-35104847|aers_report_count||5|1|https://open.fda.gov/drug/event/reference/|COUNT
2384|1308216-35104847|aers_ebgm||5|0.2980000079|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884980/|AERS_EBGM
