16123992	Antineoplastic Combined Chemotherapy Protocols	D000971	Demyelinating Diseases	D003711	16123992	Case Reports	D002363
8961085	Benzamides	D001549	Headache	D006261	8961085	Clinical Trial	D016430
8961085	Ephedrine	D004809	Headache	D006261	8961085	Clinical Trial	D016430
8961085	Monoamine Oxidase Inhibitors	D008996	Headache	D006261	8961085	Clinical Trial	D016430
8961134	Human Growth Hormone	D019382	Hyperparathyroidism	D006961	8961134	Case Reports	D002363
8961437	Alprostadil	D000527	Myocardial Infarction	D009203	8961437	Case Reports	D002363
8961437	Vasodilator Agents	D014665	Myocardial Infarction	D009203	8961437	Case Reports	D002363
8961475	Antineoplastic Combined Chemotherapy Protocols	D000971	Vomiting	D014839	8961475	Clinical Trial	D016430
8961475	Antineoplastic Combined Chemotherapy Protocols	D000971	Nausea	D009325	8961475	Clinical Trial	D016430
8961775	Selegiline	D012642	Dizziness	D004244	8961775	Clinical Trial	D016430
8961854	Analgesics, Opioid	D000701	Respiration Disorders	D012120	8961854	Case Reports	D002363
8961854	Delayed-Action Preparations	D003692	Respiration Disorders	D012120	8961854	Case Reports	D002363
8961854	Oxycodone	D010098	Respiration Disorders	D012120	8961854	Case Reports	D002363
8961891	Anti-Inflammatory Agents, Non-Steroidal	D000894	Skin Diseases, Vesiculobullous	D012872	8961891	Case Reports	D002363
8961891	Anti-Inflammatory Agents, Non-Steroidal	D000894	Porphyrias	D011164	8961891	Case Reports	D002363
8961891	Anti-Inflammatory Agents, Non-Steroidal	D000894	Photosensitivity Disorders	D010787	8961891	Case Reports	D002363
8961891	Propionates	D011422	Skin Diseases, Vesiculobullous	D012872	8961891	Case Reports	D002363
8961891	Propionates	D011422	Porphyrias	D011164	8961891	Case Reports	D002363
8961891	Propionates	D011422	Photosensitivity Disorders	D010787	8961891	Case Reports	D002363
8961893	Isotretinoin	D015474	Pain	D010146	8961893	Case Reports	D002363
8961893	Isotretinoin	D015474	Muscular Diseases	D009135	8961893	Case Reports	D002363
8961893	Isotretinoin	D015474	Muscle Weakness	D018908	8961893	Case Reports	D002363
8961893	Isotretinoin	D015474	Fatigue	D005221	8961893	Case Reports	D002363
8961893	Keratolytic Agents	D007641	Pain	D010146	8961893	Case Reports	D002363
8961893	Keratolytic Agents	D007641	Muscular Diseases	D009135	8961893	Case Reports	D002363
8961893	Keratolytic Agents	D007641	Muscle Weakness	D018908	8961893	Case Reports	D002363
8961893	Keratolytic Agents	D007641	Fatigue	D005221	8961893	Case Reports	D002363
8961992	Hydroxyethyl Starch Derivatives	D006895	Nephrosis	D009401	8961992	Clinical Trial	D016430
8961992	Kidney Transplantation	D016030	Nephrosis	D009401	8961992	Clinical Trial	D016430
8961992	Plasma Substitutes	D010952	Nephrosis	D009401	8961992	Clinical Trial	D016430
8962023	Gastrointestinal Agents	D005765	Pancreatitis	D010195	8962023	Case Reports	D002363
8962023	Octreotide	D015282	Pancreatitis	D010195	8962023	Case Reports	D002363
8962355	Glucocorticoids	D005938	Osteoporosis	D010024	8962355	Clinical Trial	D016430
8962355	Immunosuppressive Agents	D007166	Osteoporosis	D010024	8962355	Clinical Trial	D016430
8962355	Prednisone	D011241	Osteoporosis	D010024	8962355	Clinical Trial	D016430
9012295	Alfentanil	D015760	Stress, Physiological	D013312	9012295	Clinical Trial	D016430
9012295	Anesthesia, Intravenous	D000771	Stress, Physiological	D013312	9012295	Clinical Trial	D016430
9012295	Anesthetics, Intravenous	D018686	Stress, Physiological	D013312	9012295	Clinical Trial	D016430
9012295	Ketamine	D007649	Stress, Physiological	D013312	9012295	Clinical Trial	D016430
9012295	Propofol	D015742	Stress, Physiological	D013312	9012295	Clinical Trial	D016430
9012304	Anesthetics, Intravenous	D018686	Postoperative Complications	D011183	9012304	Clinical Trial	D016430
9012304	Anesthetics, Intravenous	D018686	Nausea	D009325	9012304	Clinical Trial	D016430
9012304	Etomidate	D005045	Postoperative Complications	D011183	9012304	Clinical Trial	D016430
9012304	Etomidate	D005045	Nausea	D009325	9012304	Clinical Trial	D016430
9063925	Antibiotics, Antineoplastic	D000903	Pulmonary Fibrosis	D011658	9063925	Case Reports	D002363
9063925	Antineoplastic Combined Chemotherapy Protocols	D000971	Pulmonary Fibrosis	D011658	9063925	Case Reports	D002363
9063925	Bleomycin	D001761	Pulmonary Fibrosis	D011658	9063925	Case Reports	D002363
9063925	Cisplatin	D002945	Pulmonary Fibrosis	D011658	9063925	Case Reports	D002363
9063925	Etoposide	D005047	Pulmonary Fibrosis	D011658	9063925	Case Reports	D002363
9132041	Acyclovir	D000212	Renal Insufficiency	D051437	9132041	Case Reports	D002363
9132041	Antiviral Agents	D000998	Renal Insufficiency	D051437	9132041	Case Reports	D002363
9091423	Antiemetics	D000932	Cleft Palate	D002972	9091423	Case Reports	D002363
9091423	Antiemetics	D000932	Cleft Lip	D002971	9091423	Case Reports	D002363
9091423	Meclizine	D008468	Cleft Palate	D002972	9091423	Case Reports	D002363
9091423	Meclizine	D008468	Cleft Lip	D002971	9091423	Case Reports	D002363
9005368	Antineoplastic Agents, Hormonal	D018931	Osteoporosis	D010024	9005368	Clinical Trial	D016430
9005368	Leuprolide	D016729	Osteoporosis	D010024	9005368	Clinical Trial	D016430
9004790	Diuretics	D004232	Ischemia	D007511	9004790	Case Reports	D002363
9004790	Furosemide	D005665	Ischemia	D007511	9004790	Case Reports	D002363
8968175	Adjuvants, Anesthesia	D000759	Pruritus	D011537	8968175	Clinical Trial	D016430
8968175	Analgesics, Opioid	D000701	Pruritus	D011537	8968175	Clinical Trial	D016430
8968175	Midazolam	D008874	Pruritus	D011537	8968175	Clinical Trial	D016430
8968175	Piperidines	D010880	Pruritus	D011537	8968175	Clinical Trial	D016430
8968197	Glycine	D005998	Brain Edema	D001929	8968197	Case Reports	D002363
8968295	Adrenergic beta-Agonists	D000318	Tremor	D014202	8968295	Clinical Trial	D016430
8968295	Albuterol	D000420	Tremor	D014202	8968295	Clinical Trial	D016430
8968295	Fenoterol	D005280	Tremor	D014202	8968295	Clinical Trial	D016430
8968295	Terbutaline	D013726	Tremor	D014202	8968295	Clinical Trial	D016430
8968299	Antipsychotic Agents	D014150	Urinary Incontinence	D014549	8968299	Case Reports	D002363
8968299	Antipsychotic Agents	D014150	Urinary Incontinence	D014549	8968299	Clinical Trial	D016430
8968299	Clozapine	D003024	Urinary Incontinence	D014549	8968299	Case Reports	D002363
8968299	Clozapine	D003024	Urinary Incontinence	D014549	8968299	Clinical Trial	D016430
8968306	Antidepressive Agents, Second-Generation	D018687	Priapism	D011317	8968306	Case Reports	D002363
8968306	Trazodone	D014196	Priapism	D011317	8968306	Case Reports	D002363
8968306	Triazoles	D014230	Priapism	D011317	8968306	Case Reports	D002363
8968309	Risperidone	D018967	Urination Disorders	D014555	8968309	Case Reports	D002363
8968466	Platelet Aggregation Inhibitors	D010975	Diarrhea	D003967	8968466	Case Reports	D002363
8968466	Ticlopidine	D013988	Diarrhea	D003967	8968466	Case Reports	D002363
8968470	Paroxetine	D017374	Inappropriate ADH Syndrome	D007177	8968470	Case Reports	D002363
8968470	Serotonin Uptake Inhibitors	D017367	Inappropriate ADH Syndrome	D007177	8968470	Case Reports	D002363
8968471	1-Naphthylamine	D015057	Nervous System Diseases	D009422	8968471	Case Reports	D002363
8968471	Amitriptyline	D000639	Nervous System Diseases	D009422	8968471	Case Reports	D002363
8968471	Antidepressive Agents, Tricyclic	D000929	Nervous System Diseases	D009422	8968471	Case Reports	D002363
8968471	Serotonin Uptake Inhibitors	D017367	Nervous System Diseases	D009422	8968471	Case Reports	D002363
8968661	Desogestrel	D017135	Uterine Hemorrhage	D014592	8968661	Clinical Trial	D016430
8968661	Estradiol	D004958	Uterine Hemorrhage	D014592	8968661	Clinical Trial	D016430
8968805	Anti-Inflammatory Agents	D000893	Immunoblastic Lymphadenopathy	D007119	8968805	Case Reports	D002363
8968805	Gastrointestinal Agents	D005765	Immunoblastic Lymphadenopathy	D007119	8968805	Case Reports	D002363
8968805	Sulfasalazine	D012460	Immunoblastic Lymphadenopathy	D007119	8968805	Case Reports	D002363
8954870	Interferon-alpha	D016898	Raynaud Disease	D011928	8954870	Case Reports	D002363
8969033	Heparin Antagonists	D006494	Hypertension, Pulmonary	D006976	8969033	Case Reports	D002363
8969033	Protamines	D011479	Hypertension, Pulmonary	D006976	8969033	Case Reports	D002363
8969402	Anticoagulants	D000925	Thrombocytopenia	D013921	8969402	Case Reports	D002363
8969402	Heparin	D006493	Thrombocytopenia	D013921	8969402	Case Reports	D002363
8984294	Sodium Chloride Symporter Inhibitors	D049993	Hyponatremia	D007010	8984294	Case Reports	D002363
8984756	Angiotensin-Converting Enzyme Inhibitors	D000806	Inappropriate ADH Syndrome	D007177	8984756	Case Reports	D002363
8984756	Angiotensin-Converting Enzyme Inhibitors	D000806	Hyponatremia	D007010	8984756	Case Reports	D002363
8984756	Antidepressive Agents, Second-Generation	D018687	Inappropriate ADH Syndrome	D007177	8984756	Case Reports	D002363
8984756	Antidepressive Agents, Second-Generation	D018687	Hyponatremia	D007010	8984756	Case Reports	D002363
8984756	Antihypertensive Agents	D000959	Inappropriate ADH Syndrome	D007177	8984756	Case Reports	D002363
8984756	Antihypertensive Agents	D000959	Hyponatremia	D007010	8984756	Case Reports	D002363
8984756	Enalapril	D004656	Inappropriate ADH Syndrome	D007177	8984756	Case Reports	D002363
8984756	Enalapril	D004656	Hyponatremia	D007010	8984756	Case Reports	D002363
8984756	Fluoxetine	D005473	Inappropriate ADH Syndrome	D007177	8984756	Case Reports	D002363
8984756	Fluoxetine	D005473	Hyponatremia	D007010	8984756	Case Reports	D002363
8984756	Paroxetine	D017374	Inappropriate ADH Syndrome	D007177	8984756	Case Reports	D002363
8984756	Paroxetine	D017374	Hyponatremia	D007010	8984756	Case Reports	D002363
8984756	Serotonin Uptake Inhibitors	D017367	Inappropriate ADH Syndrome	D007177	8984756	Case Reports	D002363
8984756	Serotonin Uptake Inhibitors	D017367	Hyponatremia	D007010	8984756	Case Reports	D002363
8969594	Crack Cocaine	D016578	Aortic Aneurysm	D001014	8969594	Case Reports	D002363
8969594	Crack Cocaine	D016578	Aneurysm, Dissecting	D000784	8969594	Case Reports	D002363
8969677	Digitoxin	D004074	Cardiac Complexes, Premature	D005117	8969677	Case Reports	D002363
8991901	Estrogen Replacement Therapy	D015914	Breast Neoplasms	D001943	8991901	Meta-Analysis	D017418
8969996	Cocaine	D003042	Hemorrhage	D006470	8969996	Case Reports	D002363
8969996	Cocaine	D003042	Chest Pain	D002637	8969996	Case Reports	D002363
8969996	Cocaine	D003042	Cerebral Hemorrhage	D002543	8969996	Case Reports	D002363
8969996	Narcotics	D009294	Hemorrhage	D006470	8969996	Case Reports	D002363
8969996	Narcotics	D009294	Chest Pain	D002637	8969996	Case Reports	D002363
8969996	Narcotics	D009294	Cerebral Hemorrhage	D002543	8969996	Case Reports	D002363
8969996	Plasminogen Activators	D010960	Hemorrhage	D006470	8969996	Case Reports	D002363
8969996	Plasminogen Activators	D010960	Chest Pain	D002637	8969996	Case Reports	D002363
8969996	Plasminogen Activators	D010960	Cerebral Hemorrhage	D002543	8969996	Case Reports	D002363
8969996	Tissue Plasminogen Activator	D010959	Hemorrhage	D006470	8969996	Case Reports	D002363
8969996	Tissue Plasminogen Activator	D010959	Chest Pain	D002637	8969996	Case Reports	D002363
8969996	Tissue Plasminogen Activator	D010959	Cerebral Hemorrhage	D002543	8969996	Case Reports	D002363
8970056	Antirheumatic Agents	D018501	Bone Diseases	D001847	8970056	Case Reports	D002363
8970056	Methotrexate	D008727	Bone Diseases	D001847	8970056	Case Reports	D002363
8970057	Anti-Bacterial Agents	D000900	Lupus Vulgaris	D008177	8970057	Case Reports	D002363
8970057	Minocycline	D008911	Lupus Vulgaris	D008177	8970057	Case Reports	D002363
8970065	Antirheumatic Agents	D018501	Cardiac Tamponade	D002305	8970065	Case Reports	D002363
8970065	Methotrexate	D008727	Cardiac Tamponade	D002305	8970065	Case Reports	D002363
8999480	Anti-Bacterial Agents	D000900	Pulmonary Eosinophilia	D011657	8999480	Case Reports	D002363
8999480	Minocycline	D008911	Pulmonary Eosinophilia	D011657	8999480	Case Reports	D002363
8970380	Cyclophosphamide	D003520	Pulmonary Fibrosis	D011658	8970380	Case Reports	D002363
8970380	Cyclophosphamide	D003520	Lung Diseases, Interstitial	D017563	8970380	Case Reports	D002363
8970380	Immunosuppressive Agents	D007166	Pulmonary Fibrosis	D011658	8970380	Case Reports	D002363
8970380	Immunosuppressive Agents	D007166	Lung Diseases, Interstitial	D017563	8970380	Case Reports	D002363
8970433	Erythromycin	D004917	Urticaria	D014581	8970433	Case Reports	D002363
8970433	Erythromycin	D004917	Respiratory Hypersensitivity	D012130	8970433	Case Reports	D002363
8970433	Erythromycin	D004917	Anaphylaxis	D000707	8970433	Case Reports	D002363
8970436	Acetaminophen	D000082	Anaphylaxis	D000707	8970436	Case Reports	D002363
8970440	Albuterol	D000420	Muscular Diseases	D009135	8970440	Case Reports	D002363
8970701	Anti-HIV Agents	D019380	Arthritis, Gouty	D015210	8970701	Case Reports	D002363
8970701	Didanosine	D016049	Arthritis, Gouty	D015210	8970701	Case Reports	D002363
8970701	Ritonavir	D019438	Arthritis, Gouty	D015210	8970701	Case Reports	D002363
8970853	Antidepressive Agents, Tricyclic	D000929	Acne Vulgaris	D000152	8970853	Case Reports	D002363
8970853	Dibenzocycloheptenes	D003986	Acne Vulgaris	D000152	8970853	Case Reports	D002363
8975240	Azathioprine	D001379	Pancreatitis	D010195	8975240	Case Reports	D002363
8971313	Analgesics, Non-Narcotic	D018712	Vomiting	D014839	8971313	Clinical Trial	D016430
8971313	Analgesics, Non-Narcotic	D018712	Nausea	D009325	8971313	Clinical Trial	D016430
8971313	Anti-Inflammatory Agents, Non-Steroidal	D000894	Vomiting	D014839	8971313	Clinical Trial	D016430
8971313	Anti-Inflammatory Agents, Non-Steroidal	D000894	Nausea	D009325	8971313	Clinical Trial	D016430
8971313	Indomethacin	D007213	Vomiting	D014839	8971313	Clinical Trial	D016430
8971313	Indomethacin	D007213	Nausea	D009325	8971313	Clinical Trial	D016430
8971313	Tolmetin	D014046	Vomiting	D014839	8971313	Clinical Trial	D016430
8971313	Tolmetin	D014046	Nausea	D009325	8971313	Clinical Trial	D016430
8971314	Acetaminophen	D000082	Vomiting	D014839	8971314	Clinical Trial	D016430
8971314	Acetaminophen	D000082	Nausea	D009325	8971314	Clinical Trial	D016430
8971314	Analgesics, Non-Narcotic	D018712	Vomiting	D014839	8971314	Clinical Trial	D016430
8971314	Analgesics, Non-Narcotic	D018712	Nausea	D009325	8971314	Clinical Trial	D016430
8971324	Nitrous Oxide	D009609	Frostbite	D005627	8971324	Case Reports	D002363
8971331	Anti-Bacterial Agents	D000900	Tachycardia, Ventricular	D017180	8971331	Case Reports	D002363
8971331	Erythromycin	D004917	Tachycardia, Ventricular	D017180	8971331	Case Reports	D002363
8971331	Piperidines	D010880	Tachycardia, Ventricular	D017180	8971331	Case Reports	D002363
8971393	Antineoplastic Combined Chemotherapy Protocols	D000971	Neutropenia	D009503	8971393	Case Reports	D002363
8971393	Cytarabine	D003561	Neutropenia	D009503	8971393	Case Reports	D002363
8971393	Idarubicin	D015255	Neutropenia	D009503	8971393	Case Reports	D002363
8971393	Mitoxantrone	D008942	Neutropenia	D009503	8971393	Case Reports	D002363
8971394	Transplantation Conditioning	D019172	Neutropenia	D009503	8971394	Case Reports	D002363
8971394	Transplantation Conditioning	D019172	Herpes Labialis	D006560	8971394	Case Reports	D002363
8971394	Whole-Body Irradiation	D014916	Neutropenia	D009503	8971394	Case Reports	D002363
8971394	Whole-Body Irradiation	D014916	Herpes Labialis	D006560	8971394	Case Reports	D002363
8971402	Antineoplastic Combined Chemotherapy Protocols	D000971	Bone Marrow Diseases	D001855	8971402	Clinical Trial	D016430
8971893	Anticoagulants	D000925	Hemorrhage	D006470	8971893	Case Reports	D002363
8971904	Amikacin	D000583	Water-Electrolyte Imbalance	D014883	8971904	Clinical Trial	D016430
8971904	Amikacin	D000583	Kidney Diseases	D007674	8971904	Clinical Trial	D016430
8971904	Anti-Bacterial Agents	D000900	Water-Electrolyte Imbalance	D014883	8971904	Clinical Trial	D016430
8971904	Anti-Bacterial Agents	D000900	Kidney Diseases	D007674	8971904	Clinical Trial	D016430
8971904	Gentamicins	D005839	Water-Electrolyte Imbalance	D014883	8971904	Clinical Trial	D016430
8971904	Gentamicins	D005839	Kidney Diseases	D007674	8971904	Clinical Trial	D016430
8971904	Netilmicin	D009428	Water-Electrolyte Imbalance	D014883	8971904	Clinical Trial	D016430
8971904	Netilmicin	D009428	Kidney Diseases	D007674	8971904	Clinical Trial	D016430
8971957	Cyclosporins	D003524	Kidney Diseases	D007674	8971957	Clinical Trial	D016430
8971957	Immunosuppressive Agents	D007166	Kidney Diseases	D007674	8971957	Clinical Trial	D016430
8999458	Erythropoietin	D004921	Polycythemia	D011086	8999458	Clinical Trial	D016430
9005354	Antipsychotic Agents	D014150	Myositis Ossificans	D009221	9005354	Case Reports	D002363
9005354	Antipsychotic Agents	D014150	Catatonia	D002389	9005354	Case Reports	D002363
8973037	Pyridoxine	D011736	Erythema	D004890	8973037	Case Reports	D002363
8973434	Hypnotics and Sedatives	D006993	Hypertriglyceridemia	D015228	8973434	Case Reports	D002363
8973434	Propofol	D015742	Hypertriglyceridemia	D015228	8973434	Case Reports	D002363
8973685	Antineoplastic Agents	D000970	Gynecomastia	D006177	8973685	Case Reports	D002363
8973754	Antihypertensive Agents	D000959	Acute Kidney Injury	D058186	8973754	Case Reports	D002363
8973754	Biphenyl Compounds	D001713	Acute Kidney Injury	D058186	8973754	Case Reports	D002363
8973754	Imidazoles	D007093	Acute Kidney Injury	D058186	8973754	Case Reports	D002363
8973754	Tetrazoles	D013777	Acute Kidney Injury	D058186	8973754	Case Reports	D002363
8973851	Antineoplastic Agents	D000970	Heart Diseases	D006331	8973851	Clinical Trial	D016430
8973851	Epirubicin	D015251	Heart Diseases	D006331	8973851	Clinical Trial	D016430
8973851	Mitoxantrone	D008942	Heart Diseases	D006331	8973851	Clinical Trial	D016430
8973862	Antineoplastic Combined Chemotherapy Protocols	D000971	Hemolytic-Uremic Syndrome	D006463	8973862	Case Reports	D002363
8973862	Mitomycin	D016685	Hemolytic-Uremic Syndrome	D006463	8973862	Case Reports	D002363
8973862	Tamoxifen	D013629	Hemolytic-Uremic Syndrome	D006463	8973862	Case Reports	D002363
8973871	Penicillamine	D010396	Thyroid Diseases	D013959	8973871	Clinical Trial	D016430
8976080	Drugs, Chinese Herbal	D004365	Pneumonia	D011014	8976080	Case Reports	D002363
8976138	Anti-Bacterial Agents	D000900	Hearing Loss, Bilateral	D006312	8976138	Case Reports	D002363
8976138	Erythromycin	D004917	Hearing Loss, Bilateral	D006312	8976138	Case Reports	D002363
9120134	Adrenergic beta-Agonists	D000318	Pulmonary Edema	D011654	9120134	Case Reports	D002363
9120134	Fenoterol	D005280	Pulmonary Edema	D011654	9120134	Case Reports	D002363
9120134	Tocolytic Agents	D015149	Pulmonary Edema	D011654	9120134	Case Reports	D002363
9044983	Recombinant Proteins	D011994	Corneal Opacity	D003318	9044983	Case Reports	D002363
9044983	Thrombolytic Therapy	D015912	Corneal Opacity	D003318	9044983	Case Reports	D002363
9044983	Tissue Plasminogen Activator	D010959	Corneal Opacity	D003318	9044983	Case Reports	D002363
8999349	Aspirin	D001241	Varicose Veins	D014648	8999349	Case Reports	D002363
8976734	Sarin	D012524	Eye Diseases	D005128	8976734	Case Reports	D002363
8976978	Bromocriptine	D001971	Puerperal Disorders	D011644	8976978	Case Reports	D002363
8976978	Bromocriptine	D001971	Ischemic Attack, Transient	D002546	8976978	Case Reports	D002363
8976978	Hormone Antagonists	D006727	Puerperal Disorders	D011644	8976978	Case Reports	D002363
8976978	Hormone Antagonists	D006727	Ischemic Attack, Transient	D002546	8976978	Case Reports	D002363
8976984	Etidronic Acid	D012968	Osteolysis	D010014	8976984	Case Reports	D002363
8976986	Anti-Infective Agents	D000890	Syncope	D013575	8976986	Case Reports	D002363
8976986	Anti-Infective Agents	D000890	Rhabdomyolysis	D012206	8976986	Case Reports	D002363
8976986	Clofibric Acid	D002995	Syncope	D013575	8976986	Case Reports	D002363
8976986	Clofibric Acid	D002995	Rhabdomyolysis	D012206	8976986	Case Reports	D002363
8976986	Hypolipidemic Agents	D000960	Syncope	D013575	8976986	Case Reports	D002363
8976986	Hypolipidemic Agents	D000960	Rhabdomyolysis	D012206	8976986	Case Reports	D002363
8976986	Norfloxacin	D009643	Syncope	D013575	8976986	Case Reports	D002363
8976986	Norfloxacin	D009643	Rhabdomyolysis	D012206	8976986	Case Reports	D002363
8977067	Flutamide	D005485	Nausea	D009325	8977067	Clinical Trial	D016430
8977067	Flutamide	D005485	Diarrhea	D003967	8977067	Clinical Trial	D016430
8977519	Antihypertensive Agents	D000959	Occupational Diseases	D009784	8977519	Case Reports	D002363
8977519	Antihypertensive Agents	D000959	Occupational Diseases	D009784	8977519	Clinical Trial	D016430
8977519	Antihypertensive Agents	D000959	Bronchial Spasm	D001986	8977519	Case Reports	D002363
8977519	Antihypertensive Agents	D000959	Bronchial Spasm	D001986	8977519	Clinical Trial	D016430
8977519	Biphenyl Compounds	D001713	Occupational Diseases	D009784	8977519	Case Reports	D002363
8977519	Biphenyl Compounds	D001713	Occupational Diseases	D009784	8977519	Clinical Trial	D016430
8977519	Biphenyl Compounds	D001713	Bronchial Spasm	D001986	8977519	Case Reports	D002363
8977519	Biphenyl Compounds	D001713	Bronchial Spasm	D001986	8977519	Clinical Trial	D016430
8977519	Imidazoles	D007093	Occupational Diseases	D009784	8977519	Case Reports	D002363
8977519	Imidazoles	D007093	Occupational Diseases	D009784	8977519	Clinical Trial	D016430
8977519	Imidazoles	D007093	Bronchial Spasm	D001986	8977519	Case Reports	D002363
8977519	Imidazoles	D007093	Bronchial Spasm	D001986	8977519	Clinical Trial	D016430
8977519	Tetrazoles	D013777	Occupational Diseases	D009784	8977519	Case Reports	D002363
8977519	Tetrazoles	D013777	Occupational Diseases	D009784	8977519	Clinical Trial	D016430
8977519	Tetrazoles	D013777	Bronchial Spasm	D001986	8977519	Case Reports	D002363
8977519	Tetrazoles	D013777	Bronchial Spasm	D001986	8977519	Clinical Trial	D016430
8977701	Keratolytic Agents	D007641	Melanosis	D008548	8977701	Case Reports	D002363
8977701	Keratolytic Agents	D007641	Facial Dermatoses	D005148	8977701	Case Reports	D002363
8977701	Tretinoin	D014212	Melanosis	D008548	8977701	Case Reports	D002363
8977701	Tretinoin	D014212	Facial Dermatoses	D005148	8977701	Case Reports	D002363
8977704	Cyclophosphamide	D003520	Stevens-Johnson Syndrome	D013262	8977704	Case Reports	D002363
8977704	Immunosuppressive Agents	D007166	Stevens-Johnson Syndrome	D013262	8977704	Case Reports	D002363
8977728	Anti-Anxiety Agents	D014151	Photosensitivity Disorders	D010787	8977728	Case Reports	D002363
8977728	Benzodiazepinones	D001570	Photosensitivity Disorders	D010787	8977728	Case Reports	D002363
8977745	Antithyroid Agents	D013956	Hypothyroidism	D007037	8977745	Clinical Trial	D016430
8977745	Carbimazole	D002231	Hypothyroidism	D007037	8977745	Clinical Trial	D016430
8977826	Androgen Antagonists	D000726	Hepatic Encephalopathy	D006501	8977826	Case Reports	D002363
8977826	Imidazoles	D007093	Hepatic Encephalopathy	D006501	8977826	Case Reports	D002363
8977828	Lypressin	D008236	Myocardial Infarction	D009203	8977828	Case Reports	D002363
8977828	Vasoconstrictor Agents	D014662	Myocardial Infarction	D009203	8977828	Case Reports	D002363
8977952	Methadone	D008691	Rhabdomyolysis	D012206	8977952	Case Reports	D002363
8977952	Methadone	D008691	Respiratory Insufficiency	D012131	8977952	Case Reports	D002363
8977952	Methadone	D008691	Coma	D003128	8977952	Case Reports	D002363
8977979	Bromocriptine	D001971	Raynaud Disease	D011928	8977979	Case Reports	D002363
8977979	Bromocriptine	D001971	Peripheral Vascular Diseases	D016491	8977979	Case Reports	D002363
8977979	Hormone Antagonists	D006727	Raynaud Disease	D011928	8977979	Case Reports	D002363
8977979	Hormone Antagonists	D006727	Peripheral Vascular Diseases	D016491	8977979	Case Reports	D002363
10163666	Antifungal Agents	D000935	Bronchial Spasm	D001986	10163666	Clinical Trial	D016430
10163666	Pentamidine	D010419	Bronchial Spasm	D001986	10163666	Clinical Trial	D016430
8978805	Etoposide	D005047	Vomiting	D014839	8978805	Clinical Trial	D016430
8978805	Etoposide	D005047	Pneumonia	D011014	8978805	Clinical Trial	D016430
8978805	Etoposide	D005047	Gastrointestinal Diseases	D005767	8978805	Clinical Trial	D016430
8978805	Etoposide	D005047	Fever	D005334	8978805	Clinical Trial	D016430
8978805	Etoposide	D005047	Anorexia	D000855	8978805	Clinical Trial	D016430
8978966	Immunoglobulins, Intravenous	D016756	Vasculitis	D014657	8978966	Case Reports	D002363
8978974	Cyclophosphamide	D003520	Cardiomyopathies	D009202	8978974	Case Reports	D002363
8978974	Immunosuppressive Agents	D007166	Cardiomyopathies	D009202	8978974	Case Reports	D002363
8979663	Canthaxanthin	D016644	Retinal Diseases	D012164	8979663	Case Reports	D002363
8979663	Food Coloring Agents	D005505	Retinal Diseases	D012164	8979663	Case Reports	D002363
8979664	Antibiotics, Antitubercular	D000904	Uveitis, Anterior	D014606	8979664	Case Reports	D002363
8979664	Rifabutin	D017828	Uveitis, Anterior	D014606	8979664	Case Reports	D002363
8980406	Antineoplastic Combined Chemotherapy Protocols	D000971	Herpes Zoster	D006562	8980406	Clinical Trial	D016430
8980406	Antineoplastic Combined Chemotherapy Protocols	D000971	Hematologic Diseases	D006402	8980406	Clinical Trial	D016430
8980406	Antineoplastic Combined Chemotherapy Protocols	D000971	Diarrhea	D003967	8980406	Clinical Trial	D016430
8980859	Benzoxepins	D001584	Hyperprolactinemia	D006966	8980859	Case Reports	D002363
8980859	Benzoxepins	D001584	Depression	D003863	8980859	Case Reports	D002363
8980865	Ofloxacin	D015242	Nausea	D009325	8980865	Clinical Trial	D016430
8981292	Aspirin	D001241	Hemorrhage	D006470	8981292	Clinical Trial	D016430
8981292	Dipyridamole	D004176	Hemorrhage	D006470	8981292	Clinical Trial	D016430
8981292	Platelet Aggregation Inhibitors	D010975	Hemorrhage	D006470	8981292	Clinical Trial	D016430
8981322	Anticonvulsants	D000927	Lupus Erythematosus, Systemic	D008180	8981322	Case Reports	D002363
8981322	Valproic Acid	D014635	Lupus Erythematosus, Systemic	D008180	8981322	Case Reports	D002363
8999499	Contraceptives, Oral, Hormonal	D003278	Thromboembolism	D013923	8999499	Case Reports	D002363
8999499	Contraceptives, Oral, Hormonal	D003278	Intracranial Embolism and Thrombosis	D002542	8999499	Case Reports	D002363
8982034	Drug Therapy, Combination	D004359	Pancytopenia	D010198	8982034	Case Reports	D002363
8982034	Drug Therapy, Combination	D004359	Neutropenia	D009503	8982034	Case Reports	D002363
8982034	Drug Therapy, Combination	D004359	Fever	D005334	8982034	Case Reports	D002363
8982034	Drug Therapy, Combination	D004359	Bone Marrow Diseases	D001855	8982034	Case Reports	D002363
8982034	Penicillanic Acid	D010397	Pancytopenia	D010198	8982034	Case Reports	D002363
8982034	Penicillanic Acid	D010397	Neutropenia	D009503	8982034	Case Reports	D002363
8982034	Penicillanic Acid	D010397	Fever	D005334	8982034	Case Reports	D002363
8982034	Penicillanic Acid	D010397	Bone Marrow Diseases	D001855	8982034	Case Reports	D002363
8982034	Piperacillin	D010878	Pancytopenia	D010198	8982034	Case Reports	D002363
8982034	Piperacillin	D010878	Neutropenia	D009503	8982034	Case Reports	D002363
8982034	Piperacillin	D010878	Fever	D005334	8982034	Case Reports	D002363
